,imm,imm1,imm2,imm_gen,ethnicity,gender,agr1,con1,ext1,ope1,sta1,agr2,con2,ext2,ope2,sta2,agr3,con3,ext3,ope3,sta3
17,0,0,0,3,1,0,0.131358822,1.596628534,-1.233035773,1.441683729,0.489342352,0.454548643,1.100976907,-1.091017359,1.513468944,0.373710782,0.624333773,1.410848502,-2.102639374,0.910026508,-0.963235223
18,0,0,0,3,1,0,1.758674504,1.672193808,1.320631053,1.552663183,1.598792855,1.665479959,1.812744241,1.411924147,1.930537936,1.492785042,1.725830275,1.961311724,1.444185201,1.932121114,1.431381654
19,0,0,0,3,1,0,1.450378008,0.826153484,1.348880456,1.261518174,1.41434003,0.848245363,0.141348196,0.630034714,0.735207211,0.668702662,0.914127135,0.123712261,0.975632809,1.110602586,0.419046123
20,0,0,0,3,1,0,0.661860048,0.396476163,0.8121727,1.028494575,0.718423146,0.716122771,-0.042566837,-0.035913684,1.197521063,0.102227753,1.320677417,1.097325041,0.030791045,1.450260054,0.338249216
21,0,0,0,3,1,0,0.603642526,0.519472727,0.330980926,0.446816645,0.032923713,1.125192372,0.312738444,-0.028750317,0.784483461,-0.244990564,1.073493315,0.704848966,0.274378247,1.059325255,-0.233296895
22,0,0,0,3,1,0,1.119609212,0.997714065,0.73780846,1.378409577,0.78378028,0.495289835,1.362034833,0.970440172,1.321359275,0.891528305,0.721727662,1.250085953,0.578801214,1.326894853,0.77488552
23,0,0,0,3,1,0,1.035208137,0.991271541,0.721941689,0.345073564,0.537817549,1.055604305,0.624174064,0.392343607,0.482576012,0.013816498,0.295664946,0.139042007,-0.303545175,-0.01331763,-0.918534589
24,0,0,0,3,1,0,-0.792821336,0.610962438,0.039379838,-0.619714916,-0.832702937,1.467230167,0.640807206,0.419131038,1.175463267,-0.238405388,0.448067846,0.378294241,-0.395116431,0.372133866,-0.720832768
25,0,0,0,3,1,0,-0.169776085,-0.367765296,-0.720513267,-0.145816607,-0.398295339,0.055807109,0.032100511,-0.033064905,0.085428105,0.068407211,0.067598305,-0.014827605,0.143572655,0.246606242,0.220960399
26,0,0,0,3,1,0,-0.681477739,-0.911464002,-1.538208544,-1.567112859,-0.894083032,-2.063841976,-1.108653914,-2.38085402,-2.570088681,-1.796675128,-0.727422768,-0.43670033,-1.167427957,-1.388737179,-0.877953033
27,0,0,0,3,1,0,0.990438516,0.420477695,-0.24788275,0.464553132,0.63081044,1.126601082,1.858348651,1.029006502,1.228336532,1.416909221,0.851075075,1.244267965,0.647039228,0.453293557,0.763719333
28,0,0,0,3,1,0,0.742694241,0.888093853,0.004922615,0.312238599,0.794793657,1.03263484,1.195920378,0.36263812,1.13402473,0.987788795,0.840874033,1.514133983,0.227436974,0.881836816,0.98077696
29,0,0,0,3,1,0,-0.284184373,0.288281494,-0.306067416,0.052957652,-0.408289329,0.104576957,-0.683706349,-0.746436507,-0.155307037,-1.061282078,-0.142035979,-0.16732933,-0.745531935,0.013735327,-0.65462666
30,0,0,0,3,1,0,0.477487283,0.594501491,0.888140828,1.566618282,1.109094918,-0.129175839,0.25831977,0.707982449,0.968816497,0.929911392,-0.139053004,0.237882187,0.278205084,0.755812136,0.47874673
31,0,0,0,3,1,0,-0.804893921,-0.583148273,-0.286914301,-0.850109863,-0.751657653,-0.482527781,-0.472728917,-0.336360651,-0.660843817,-0.662483236,-0.41902286,-0.563015971,-0.402601278,-0.461917989,-0.554022392
32,0,0,0,3,1,0,-0.326033403,-0.364011142,-0.154827201,-0.341009311,-0.86808483,-0.498490549,-0.594808648,-0.348175212,-0.296806557,-1.055827127,-0.116271314,-0.437646531,-0.407801348,0.136982392,-0.826893539
33,0,0,0,3,1,0,0.229952854,0.135511633,1.047689816,1.011411214,1.069413391,0.196128885,-0.128037904,0.466122529,0.883317626,0.914433086,-0.854486008,-0.323843378,0.303753798,-0.275950508,-0.511131215
34,0,0,0,3,1,0,0.328889602,-0.13549976,-0.408494977,0.578918663,-0.100102494,-1.114823283,-1.222509325,-1.492133839,-0.98203803,-1.730871533,-0.325479854,0.385379505,-0.678696379,-0.210060765,-0.739319649
35,0,0,0,3,1,0,-0.122344723,0.464438085,-0.20678417,0.191106303,0.060325062,0.342912477,0.001408239,-0.497568784,0.421477185,0.105883816,0.23387875,-0.205698136,-0.800608986,0.47823666,-0.096467665
36,0,0,0,3,1,0,-0.181583578,0.27875997,1.004947777,1.19602621,0.594954851,-0.384299824,-0.372151066,0.424481661,0.929290677,0.464570938,-0.406101629,0.462829276,0.929098027,0.950981966,0.186362824
37,0,0,0,3,1,0,0.372791839,0.319561993,-0.484475094,0.281905101,-0.628151876,0.966598361,0.178946339,-0.899655836,0.734502881,-0.77832381,1.327427943,0.213767947,-1.159612871,1.04815659,-1.100350361
38,0,0,0,3,1,0,0.949092439,0.858615147,0.756804725,0.854881248,0.827025671,1.379747234,1.420220979,1.121553131,1.444965602,1.23712672,0.758759898,0.692735304,0.421715435,0.764078961,0.101706392
39,0,0,0,3,1,0,0.166338603,-0.188777144,0.502250737,0.249612507,0.195274793,0.76877458,0.176933827,1.109275495,1.121086606,1.053749825,-0.037639639,-0.254693342,0.9059887,0.72035244,0.802500488
40,0,0,0,3,1,0,0.303398193,0.409142361,0.062691485,0.152079446,-0.315968008,0.42092505,-0.001026079,-0.66246771,-0.181417602,-0.867597683,0.109943192,0.009839801,-0.922493942,-0.037455943,-1.20477995
41,0,0,0,3,1,0,-0.184382227,-0.161855187,0.096410799,-0.071021739,-0.543572898,-0.793588229,-0.898831057,-0.791792084,-0.720761009,-1.551193484,-0.266335135,-0.503503179,-0.736724994,-0.353593629,-1.40326212
42,0,0,0,3,1,0,0.521284874,0.816749095,0.699604394,0.383155278,0.599384096,-0.264028602,0.361005305,0.397475256,0.189127536,-0.027947504,-1.385672642,-0.33742336,-0.983401569,-1.145448628,-1.373390795
43,0,0,0,3,1,0,1.433477684,1.701805169,1.014927727,1.977547949,1.175814973,1.004794659,0.357726788,-0.313406298,0.852966399,-0.203746539,1.417839451,1.204536627,0.39379394,1.537211358,0.148728966
44,0,0,0,3,1,0,-0.041799535,-0.25930593,-0.012799503,-0.555345889,-0.16944061,0.178653555,-0.18562983,0.163973182,-0.254619029,-0.476899669,0.450427685,-1.366966221,-1.592568751,-0.604503767,-0.826279418
45,0,0,0,3,1,0,0.600933879,-0.174564938,0.227011425,-0.115505011,-0.158136591,0.255233029,0.036908667,0.227785601,0.007889909,-0.181558392,0.191350624,-0.129946563,0.339682742,0.213352759,-0.049336107
46,0,0,0,3,1,0,0.188043138,0.715648007,0.371778621,0.671923737,0.507501033,0.366417148,-0.448124668,-0.422189241,0.521342091,-0.146375517,-0.199611103,-0.605911959,-1.18412758,0.078323382,-0.61609884
47,0,0,0,3,1,0,1.171545384,0.31644958,0.537433603,1.411913508,0.991296193,0.672681942,0.795748251,1.015237373,1.326899859,1.113304174,0.38255019,0.73895262,0.47925491,0.605282721,0.611225469
48,0,0,0,3,1,0,-0.364724849,-0.944093821,-0.541820489,-0.423413937,-0.606581004,0.316342137,0.307884176,0.388915057,-0.132152125,0.27531271,0.846015783,-0.137952376,0.626358684,0.212576842,0.343556682
49,0,0,0,3,1,0,1.289565143,0.145795668,1.254656512,0.602379844,1.412614706,0.804173989,0.018352267,0.677980848,0.294197934,0.935944409,0.708527882,-0.000236272,1.189147787,0.497299302,1.059327196
50,0,0,0,3,1,0,0.36033026,0.797974706,0.296140403,0.145561775,0.368882001,1.441187836,1.608877748,1.122135528,0.917699184,1.230200073,1.419165741,1.463316419,1.318660474,1.506785011,1.6120192
51,0,0,0,3,1,0,0.677536185,0.173323064,0.180586431,0.112564778,0.309148469,-1.438735768,-0.638137454,-1.353293347,-1.27768437,-1.359719974,-0.686881689,0.4108599,0.12937439,-0.791097311,-0.891836072
52,0,0,0,3,1,0,0.707883397,0.824350544,1.353149421,1.352571716,0.769789703,0.638542692,0.332347892,0.843299201,1.339762946,0.481622136,0.530509384,0.535261064,0.551666722,1.23613673,-0.064795506
53,0,0,0,3,1,0,1.238058587,0.602106237,1.026988402,0.961052279,1.225817837,-2.506792875,1.046084861,0.857724792,-1.211466015,0.844563461,-0.591284817,0.848437185,1.386888508,0.360868176,1.398690609
54,0,0,0,3,1,0,-0.642226035,-0.574803266,-0.708959054,-0.840092982,-0.874085688,-0.61004539,0.100203809,-0.049205993,-0.474328343,-0.381349644,-0.40892025,-0.30942936,-0.393058945,-0.466313513,-0.451916506
55,0,0,0,3,1,0,1.489334142,1.597495635,1.51159167,1.685950829,1.467815562,1.083267891,1.137898626,1.164290325,1.536378376,1.091251641,0.736673024,1.048589049,0.878279807,1.39219879,0.506489456
56,0,0,0,3,1,0,0.692255758,0.337091373,0.491862695,0.415818651,0.240286534,1.070968497,0.678043388,0.711082018,0.601865805,0.310130779,0.408167599,0.078162308,0.037749742,0.102205083,-0.447916401
57,0,0,0,3,1,0,-0.388676113,-0.692698585,-1.076664915,-0.746826714,-0.864052395,-0.581982077,0.413570817,0.178415142,-0.581348428,0.099314441,-0.856682335,-0.647316637,-0.300593395,-0.763275506,-0.76789553
58,0,0,0,3,1,0,1.765752153,1.780169433,1.444676853,1.836888777,1.801225127,0.863900662,1.22356919,0.906305156,1.325857644,1.052102598,1.261176581,1.906835316,1.426391974,1.830269945,1.424305757
59,0,0,0,3,1,0,0.684981149,1.005069566,1.207726917,1.863434387,1.34883197,0.000520427,0.489206576,1.181635101,1.100216538,1.243694,0.46752964,0.450637075,1.150689166,1.614350026,1.345235806
60,0,0,0,3,1,0,0.599323926,-0.285692902,0.177991678,0.537882516,0.102035558,0.06327978,-0.400596476,-0.139935467,0.122047782,-0.1283519,0.563705441,-0.397647185,0.376843247,0.733014754,-0.101600105
61,0,0,0,3,1,0,1.472856541,1.436731136,1.214568216,1.499780049,1.484431685,0.926235954,0.43585273,0.081465133,1.002370958,0.327799101,1.3030125,1.602483208,1.007303008,1.559409846,0.615335643
62,0,0,0,3,1,0,-0.046519366,-1.185983173,-1.806427673,0.5546826,-0.105709723,0.797530145,-0.770692256,-1.857870631,-0.170986616,-0.074538669,1.63581884,1.934296606,1.053394379,1.210189546,1.769030517
63,0,0,0,3,1,0,-1.56486531,-0.775884377,-1.924774456,-0.890308021,-1.120494954,-0.291993554,-0.617715752,-1.287532686,-0.202285541,-0.596948063,0.674239775,0.644239536,-0.97042471,0.573202106,0.740078994
64,0,0,0,3,1,0,0.48498553,0.640456396,1.127889972,1.016925471,0.720367398,-0.083599122,-1.998717644,-1.330149653,-0.531917238,-1.271109849,0.293379306,-0.524162868,0.551137685,0.854376598,-0.294122013
65,0,0,0,3,1,0,0.285211006,-0.00387195,0.20113248,0.009294716,0.346419334,-0.480410985,-0.275719829,-0.48578567,-0.750387023,-0.333950647,0.407071577,0.071225698,0.075371961,0.208435969,0.264943996
66,0,0,0,3,1,0,1.433757516,0.666608412,0.170018624,1.079613709,1.334946352,0.401926785,-1.594140674,-2.332188617,-0.416510098,-1.729395051,0.567473014,-0.016818874,-2.160251458,-0.669766852,-1.070328688
67,0,0,0,3,1,0,0.902956654,0.355329379,-0.12433931,0.316290638,0.338264159,-2.310712196,-2.269287847,-2.702117337,-3.032069303,-2.891846311,-0.519434944,-0.170727284,-0.363464595,-0.624210644,-0.677435134
68,0,0,0,3,1,0,-0.618859173,0.067672101,-1.033308085,-0.290742323,-0.007254333,-0.567222129,-0.386435558,-0.66425994,-0.2499676,0.024104949,-0.213539893,-0.042118231,-0.570077636,0.078594496,0.647635175
69,0,0,0,3,1,0,-0.341552128,-0.314038249,-0.927013263,-0.335105175,-0.228141901,-0.084290362,-1.295793521,-1.977324756,-0.726397223,-1.235459774,0.172174299,-0.015260951,-1.105215687,-0.21140689,-0.376254027
70,0,0,0,3,1,0,0.620033395,0.79037312,-0.078455907,0.924801455,0.549130727,0.385279564,0.331071502,0.09835355,1.078731892,0.16539929,0.379965328,0.077703388,-1.266957982,0.497865848,-0.201552513
71,0,0,0,3,1,0,-1.300609469,-0.926497917,-1.204520219,-1.017851378,-1.240519569,0.439182378,-1.086003537,-1.081915594,-0.304657117,-0.821624168,1.054748224,0.631034523,0.999286321,1.237505053,1.184220168
72,0,0,0,3,1,0,0.834769501,0.983724315,1.01962729,0.906967448,0.647458264,1.034951176,0.302880971,0.816833614,0.702269161,0.174411135,-0.399618004,-0.193205535,-0.478363108,-0.161228521,-0.455822539
73,0,0,0,3,1,0,-1.005494024,-1.060846986,-0.894282402,-0.763991945,-1.188611894,-0.608680407,-0.225345799,-0.099783391,-0.629387131,-0.431471005,-1.067033277,-0.787952855,-0.803139903,-0.956857461,-0.838336607
74,0,0,0,3,1,0,-0.128782412,0.084729541,0.113567351,0.173120591,0.254148402,-0.510978199,0.597778081,0.560123476,0.225108553,0.638469279,-0.97793418,0.156360439,0.008975695,-0.460934629,-0.152355455
75,0,0,0,3,1,0,1.076120383,1.011823491,1.059703835,1.344450556,1.09750604,0.633105907,0.808452945,0.752313832,0.86181115,0.796427822,0.901962475,1.463449855,1.297922449,1.423924558,0.995088674
76,0,0,0,3,1,0,0.32001068,0.673248747,0.986696732,1.047994387,0.547037782,0.55612098,0.866264895,1.172868349,1.262604948,1.177872411,-0.568776673,0.489843335,0.632036408,0.527882325,-0.254226326
77,0,0,0,3,1,0,0.706868321,0.789633604,0.98097528,1.218472812,1.342412299,-0.692608203,-0.535424921,-0.818557442,-0.199659862,-0.26689697,1.364153944,1.371554859,1.136644115,1.708575145,1.392855427
78,0,0,0,3,1,0,0.021665745,-0.30385848,0.005958551,-0.70255817,-0.548423691,-0.690566526,0.222264249,-0.011236291,-0.930599139,-0.267649401,-0.819486411,-1.017796264,-0.04106911,-0.850701962,-1.38473446
79,0,0,0,3,1,0,0.530356553,1.098098387,0.870941014,1.165957292,0.884031192,-0.156124795,0.567799328,0.663447889,0.798405137,0.62087015,0.190022732,1.448528318,1.080228148,1.367667047,1.264208393
80,0,0,0,3,1,0,0.107323871,0.15951561,-0.014609832,0.403510925,0.480439868,-0.007401892,0.209508696,0.031332366,0.366038989,0.800147103,0.344144845,-0.345517311,-0.245733643,0.627702872,0.551167663
81,0,0,0,3,1,0,0.68083515,0.271790388,0.923456422,0.613317724,-0.00612688,-1.234528646,-1.499691113,-0.743834399,-1.38597478,-1.70221699,-0.384302155,-1.482152278,-0.890475162,-0.067795536,-0.891707739
82,0,0,0,3,1,0,-1.738341789,-0.829513217,-1.152239792,-2.373702462,-1.712604748,-0.539320163,-0.238365248,-0.808364855,-1.235204198,-1.209298115,-0.675154669,-0.871070775,-1.291608494,-1.318401336,-1.259110591
83,0,0,0,3,1,0,1.184724279,1.567637787,1.043859202,1.15130822,1.463702716,-1.213246136,-0.465981215,-0.773047224,-0.578259267,-0.777754312,-0.275085323,0.988271979,-0.246804701,0.365041332,0.172929344
84,0,0,0,3,1,0,-0.362434036,-0.465640307,-0.16546413,-0.302269462,-0.447442049,0.28288328,0.479360171,0.703330131,0.211533375,0.28226251,0.34309043,0.546778251,0.916092511,0.356593559,0.549038916
85,0,0,0,3,1,0,-1.881106116,0.571395665,0.365237354,-1.229340199,-0.323807965,-1.169001672,-0.826177243,-0.646779907,-1.013492731,-1.202436872,-1.405742861,-0.333282424,-0.930803602,-1.072008378,-0.784772731
86,0,0,0,3,1,0,-0.10845493,0.37931004,-0.180144255,-0.048042185,0.28444722,-0.368371657,-0.16813632,-0.556022957,-0.188864686,-0.447418159,-0.754500955,0.086833286,-0.937314888,-0.870562448,-0.713373561
87,0,0,0,3,1,0,-0.122535031,0.267160022,0.077150605,0.093040725,-0.320837067,-0.267851373,-0.20475679,-0.173254132,0.015337329,-0.550763559,-0.451972362,-0.434583133,-0.546438791,-0.001325288,-0.864860827
88,0,0,0,3,1,0,1.34917739,1.153167523,1.349892099,1.857020068,1.237783243,-0.457142373,0.130427273,0.235140119,0.155481507,0.176592354,-0.943692781,-0.752222794,-0.798749675,-0.330532146,-1.340331734
89,0,0,0,3,1,0,-0.945164871,-0.463220274,0.278627457,-0.444984988,-0.245022963,-1.176130475,-0.929327696,-0.3445501,-0.52450488,-0.798702795,-0.971819155,-0.813457171,-0.75240369,-0.864259568,-1.064478213
90,0,0,0,3,1,0,-0.248839755,-0.62361255,-0.615733812,-0.31360008,-0.474069405,-0.787971625,-0.382629359,-0.538201847,-0.496820868,-0.741632439,-0.986847423,-0.314868879,-0.264938432,-1.053887255,-1.097201363
91,0,0,0,3,1,0,-0.819229228,-0.187196446,-0.530139469,-0.460996851,-0.688285683,-0.376485788,-0.028594392,-0.041279993,0.170818553,-0.177700692,-0.531055832,-0.039098961,-0.811258158,-0.091248759,-0.467717764
92,0,0,0,3,1,0,0.747087204,0.216132465,0.469583841,-0.023377826,0.424483061,0.277657111,0.272503627,0.355680637,-0.157583996,0.123638395,0.167364936,-0.118648435,0.128800132,-0.093252755,-0.050343915
93,0,0,0,3,1,0,-0.228481459,-0.614609033,0.296893929,-0.668132262,-0.367408889,-0.41628028,-1.438246354,-0.477900119,-1.035179542,-1.164066265,-0.477232736,-0.765688206,0.240767733,-0.37369712,-0.624302329
94,0,0,0,3,1,0,1.648435727,1.464123809,1.174587675,1.313406348,1.618715989,1.459123163,1.458324416,1.346266707,1.744496481,1.528032436,0.817034299,0.978453549,0.540517096,1.020716173,0.92370928
95,0,0,0,3,1,0,0.170656059,-0.550053715,0.073762823,-0.040187793,0.323456397,-0.810023298,-0.761308911,-0.765752205,-1.098445842,-0.529610471,1.269050599,0.650422195,1.228327069,1.029700943,1.198902768
96,0,0,0,3,1,0,-0.655059633,-0.8527975,-0.226541105,-0.281414892,-0.692173445,-1.136085552,-0.732453654,-0.148385704,-0.802264454,-0.570759816,-1.444241332,-0.708531363,-0.079772389,-0.839950361,-0.787507336
97,0,0,0,3,1,0,-0.580493325,-0.361776694,-0.043095993,-0.003164417,-0.302841764,-2.137152787,-1.175249804,-0.658017881,-1.379775741,-1.129585444,0.523118938,-1.101891637,-1.058336038,0.690270666,0.164067503
98,0,0,0,3,1,0,1.317913948,0.824204137,0.582126874,1.262635555,1.396615178,-0.471491731,-0.497730909,-1.13458102,-0.605444134,-0.348366867,-0.848557011,-0.293012525,-0.954397675,-0.853480015,-0.946745136
99,0,0,0,3,1,0,0.526290435,1.11051685,0.088573986,0.751933274,0.696191453,0.108462797,0.329479805,0.098717626,0.778856057,0.254289617,-0.43708842,0.643716007,-0.313595528,0.204214319,-0.001346565
100,0,0,0,3,1,0,1.368966546,1.954937468,1.404680129,1.967063014,1.539382689,-1.160756889,1.770111062,1.088414725,0.347384926,0.401989322,-0.608835082,-0.000908278,-2.039001052,-0.681909329,-1.391980476
101,0,0,0,3,1,0,-0.459838711,-1.195129536,-0.953722732,-0.789156245,-0.844868554,-1.276973406,0.096830028,-0.322366179,-1.087224815,-0.415528076,0.490195984,0.795756511,0.925732817,0.254427265,0.807021198
102,0,0,0,3,1,0,1.125072734,0.590638168,0.646244718,0.512734994,0.659783598,1.815246405,1.944393543,1.424942831,1.225971522,1.543141505,1.819119055,1.656962504,1.24816421,1.466540921,1.39458603
103,0,0,0,3,1,0,-0.763606944,-0.7237866,-1.097435048,-0.996874663,-0.613695603,-1.167413373,-0.676066596,-1.169405155,-0.867113884,-1.182940143,-0.853623484,-0.745464814,-2.084235594,-1.536071589,-1.266143891
104,0,0,0,3,1,0,1.14771348,0.98004111,0.557412625,0.877931819,1.190732492,-0.048047917,0.931216995,0.459100706,0.505647005,0.673309868,1.00811071,0.917227349,-0.320073194,0.958550047,1.001374692
105,0,0,0,3,1,0,0.347257265,-0.268967104,0.178638266,-0.082658475,0.193955839,0.157728736,0.180237746,0.088678441,-0.260562195,-0.058259695,0.618172097,0.463233429,0.868132294,0.127252117,0.337348828
106,0,0,0,3,1,0,0.32915192,-0.436609257,-0.28444273,0.146946285,-0.623185442,-0.234618306,-0.190451526,-0.208285267,-0.054637179,-0.667594565,-0.050501137,-0.241203524,-0.138255649,0.15205759,-0.63787675
107,0,0,0,3,1,0,1.130180383,1.308765224,1.363157334,0.988057538,0.896411075,0.705690949,0.172645956,0.371897729,0.3130988,-0.212740776,0.751805414,0.07491064,0.140004257,0.755354786,-0.187634644
108,0,0,0,3,1,0,0.332445557,-0.195075653,-0.215481366,-0.449877392,0.210683941,0.201879877,0.134374869,-0.300433373,-0.375840833,-0.077005536,0.888316408,0.1858142,0.056031576,0.080512837,0.383252462
